Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
30.8.2006;2582,08;2562,76;2578.44;0;;814098807
29.8.2006;2578,77;2553,2;2561.97;;;805881393
28.8.2006;2563,21;2535,24;2559.25;;;411168665
25.8.2006;2563,04;2545,66;2549.23;;;712666681
24.8.2006;2559,88;2545,4;2552.44;0;;813993424
23.8.2006;2584,14;2560,64;2560.82;;;845953397
22.8.2006;2574,02;2541,74;2571.09;;;796260651
21.8.2006;2546,57;2527,14;2541.52;;;639099288
18.8.2006;2544,3;2530,84;2534.54;;;854639477
17.8.2006;2546,64;2531,32;2540.06;;;984742341
16.8.2006;2546,25;2499,64;2535.54;;;1429848056
15.8.2006;2499,27;2473,51;2497.98;;;794422413
14.8.2006;2489,18;2466,61;2489.18;;;609903967
11.8.2006;2482,6;2464,01;2471.63;;;578458753
10.8.2006;2473,41;2445,36;2467.28;;;649314761
9.8.2006;2480,53;2441,29;2476.25;;;809009079
8.8.2006;2467,6;2446,73;2465.94;;;577441041
7.8.2006;2476,53;2443,15;2445.46;;;417260266
4.8.2006;2483,73;2453,15;2480.32;;;620471924
3.8.2006;2476,33;2446,54;2452.52;;;701405280
2.8.2006;2472,75;2457,67;2471.08;;;619195368
1.8.2006;2475,51;2453,25;2457.2;;;598748766
31.7.2006;2468,88;2454,07;2461.19;;;702158968
28.7.2006;2474,32;2446,3;2464.34;;;621682837
27.7.2006;2476,52;2439,24;2475.96;;;657502754
26.7.2006;2454,97;2432,28;2439.04;;;734879510
25.7.2006;2458,79;2440,6;2447.41;;;656248909
24.7.2006;2443,28;2400,35;2441.7;;;562793624
21.7.2006;2434,8;2403,01;2410.04;;;1110934206
20.7.2006;2436,22;2403,41;2433;;;2830086427
19.7.2006;2403,56;2328,96;2403.56;;;1045684143
18.7.2006;2355,79;2325,07;2325.07;;;793221796
17.7.2006;2371,54;2336;2342.02;;;678757126
14.7.2006;2385,25;2353,92;2361.1;;;634103257
13.7.2006;2448,08;2379,63;2386.89;;;965543259
12.7.2006;2463,05;2432,5;2448.53;;;619852245
11.7.2006;2445,55;2424,98;2430.26;;;668652987
10.7.2006;2448,5;2432,6;2447.33;;;538511351
7.7.2006;2455,5;2433,48;2444.44;;;720909312
6.7.2006;2463,99;2446,09;2455.31;;;709426339
5.7.2006;2465,31;2444,11;2445.87;;;561289340
4.7.2006;2466,54;2452,71;2466.36;;;312491034
3.7.2006;2459,87;2435,29;2459.87;;;470158077
30.6.2006;2447,12;2394,63;2441.08;;;1050456307
29.6.2006;2388,01;2330,47;2388.01;;;1009669861
28.6.2006;2343,03;2318,87;2328.7;;;905665811
27.6.2006;2372,83;2344,63;2344.73;;;619484389
26.6.2006;2378,31;2352,32;2355.95;;;601384549
22.6.2006;2378,53;2348,45;2358.51;;;798497254
21.6.2006;2346,93;2321,27;2345.95;;;748217836
